Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point,Dew Point Flag,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Heating Degree Days,Heating Degree Days Flag,Accumulated Daily Heating Degree Days,Accumulated Daily Heating Degree Days Flag,Cooling Degree Days,Cooling Degree Days Flag,Accumulated Daily Cooling Degree Days,Accumulated Daily Cooling Degree Days Flag,Rainfall,Rainfall Flag
Ada,47.3211,-96.5139,910,2020,4,20,29.506,,48.074,,27.057,,27,,27,,0,,0,,0,
Alamo,48.54651,-103.471843,2157,2020,4,20,24.029,,56.102,,32.949,,20,,20,,0,,0,,0,
Baker,48.167,-99.648,1680,2020,4,20,24.95,,48.938,,23.169,,29,,29,,0,,0,,0,
Beach,46.789,-103.966,2932,2020,4,20,25.869,,61.322,,35.679,,16,,16,,0,,0,,0,
Berthold,48.38,-101.822,2132,2020,4,20,23.774,,49.586,,28.942,,26,,26,,0,,0,,0,
Bottineau,48.821,-100.76,1479,2020,4,20,24.257,,49.964,,22.003,,29,,29,,0,,0,,0,
Bowbells,48.817,-102.239,1959,2020,4,20,22.389,,49.73,,25.862,,27,,27,,0,,0,,0,
Bowman,46.19969,-103.47305,3032,2020,4,20,26.781,,60.206,,31.332,,19,,19,,0,,0,,0,
Brampton,45.984106,-97.82076,1319,2020,4,20,33.15,,58.784,,29.667,,21,,21,,0,,0,,0,
Brorson,47.782,-104.248,2268,2020,4,20,26.454,,62.87,,38.523,,14,,14,,0,,0,,0,
Campbell,46.064932,-96.370165,1005,2020,4,20,32.527,,57.452,,27.946,,22,,22,,0,,0,,0,
Cando,48.471903,-99.166057,1485,2020,4,20,24.551,,48.11,,23.547,,29,,29,,0,,0,,0,
Carrington,47.509,-99.132,1561,2020,4,20,27.016,,50.036,,27.653,,26,,26,,0,,0,,0,
Carson,46.44303,-101.373829,2107,2020,4,20,26.478,,61.232,,28.566,,20,,20,,0,,0,,0,
Cavalier,48.844273,-97.644273,876,2020,4,20,24.717,,43.237,,25.767,,30,,30,,0,,0,,0,
Cooperstown,47.442811,-98.177288,1454,2020,4,20,27.301,,48.11,,23.286,,29,,29,,0,,0,,0,
Crary,48.05,-98.606,1508,2020,4,20,26.751,,47.462,,23.808,,29,,29,,0,,0,,0,
Crosby,48.807152,-103.311735,2086,2020,4,20,22.443,,53.654,,32.452,,22,,22,,0,,0,,0,
Dagmar,48.555903,-104.346503,2112,2020,4,20,27.08,,59.216,,29.322,,21,,21,,0,,0,,0,
Dazey,47.183,-98.138,1441,2020,4,20,28.798,,49.478,,26.033,,27,,27,,0,,0,,0,
Dickinson,46.895,-102.813,2557,2020,4,20,26.766,,61.7,,34.606,,17,,17,,0,,0,,0,
Dooley,48.833729,-104.384671,2509,2020,4,20,25.727,,55.94,,35.256,,19,,19,,0,,0,,0,
Dunn,47.3416,-102.6308,2210,2020,4,20,26.082,,61.106,,35.481,,17,,17,,0,,0,,0,
Edgeley,46.319216,-98.766055,1649,2020,4,20,29.407,,56.876,,27.003,,23,,23,,0,,0,,0,
Edmore,48.420564,-98.512766,1520,2020,4,20,26.088,,44.629,,22.309,,32,,32,,0,,0,,0,
Ekre,46.540042,-97.140927,1053,2020,4,20,30.732,,55.814,,27.883,,23,,23,,0,,0,,0,
Eldred,47.688,-96.822,861,2020,4,20,29.681,,44.49,,28.864,,28,,28,,0,,0,,0,
Fargo,46.897,-96.812,902,2020,4,20,29.901,,53.24,,26.868,,25,,25,,0,,0,,0,
Fingal,46.746,-97.911,1492,2020,4,20,29.538,,53.114,,24.831,,26,,26,,0,,0,,0,
Finley,47.52638,-97.847264,1477,2020,4,20,27.993,,47.804,,23.511,,29,,29,,0,,0,,0.01,
Forest River,48.296,-97.603,893,2020,4,20,26.339,,42.829,,25.75,,31,,31,,0,,0,,0,
Fort Yates,46.084858,-100.676495,1662,2020,4,20,25.138,,62.024,,29.374,,19,,19,,0,,0,,0,
Fox,48.877738,-95.85016,1040,2020,4,20,19.04,,38.842,,24.112,,34,,34,,0,,0,,0,
Froid,48.25793,-104.496673,2185,2020,4,20,27.458,,61.862,,34.7,,17,,17,,0,,0,,0,
Galesburg,47.21,-97.431,1087,2020,4,20,30.212,,51.026,,24.044,,27,,27,,0,,0,,0,
Garrison,47.710256,-101.679546,1926,2020,4,20,24.735,,55.004,,32.464,,21,,21,,0,,0,,0,
Grafton,48.4123,-97.186,801,2020,4,20,27.517,,41.446,,27.588,,30,,30,,0,,0,,0,
